video_id,transcript
--Ymqszjv54.001.mp4,"I like Tabasco sauce, I like Louisiana hot sauce, French red hot sauce, 7 desks sauce, a days and Saturday sauce, and these are from my garden. Now these are cayenne peppers, they're a total actually peppers. And they're"
--Ymqszjv54.003.mp4,"a lot more things there. And then the menus are a lot different. There's a teriyaki stuff and the soy sauce and the springs, like lots of you flavors. So those are really cool."
--Ymqszjv54.004.mp4,"and read and say, ah-ha. And because I missed a vlog and I feel bad about that and plus I really wanted to try this, I decided to give it a try."
--Ymqszjv54.005.mp4,"So, here, this one goes, this doesn't have any amount. So, this is from OH, OH, and what's your name? So my name is Austin. My name is Austin."
-2qsCrkXdWs.001.mp4,I'm thinking with how much time and energy I'm spending on doing my EV cosplay I'm probably gonna end up really liking to do leave for EV Which is from Assassin's Creed because I really like
-55DRRMTppE.000.mp4,goes with is the Canon 650D. It's not a great camera but I would say it's pretty good for beginners. I mean I bought it two years ago or something no little over two years but yeah I mean it was really handy and still is doing a
-55DRRMTppE.005.mp4,"I had just reached the end of episode 1 in the TV series. So I was like, there's no way I'm going to finish this series. And I just kind of go bored with the whole description. I know there are some people who can read K-HOPs on this one."
-5riMLK-PgU.001.mp4,"Long day, I'm just going to go here to Pushwork out. The finishing day off, strong, state, 11. Cool, cool, cool, cool, cool past 11. So, it's going to be a really late one, crazy long day. See you in the gym!"
-6otZ7M-Mro.000.mp4,seeing it from such a close perspective that you can understand the techniques that I'm doing and my eyesheet I think is a lot more realistic because I don't have a lot of eyelid space. I don't have a lot of crease space and it's great if you have all those things that I'm not knocking it but I think...
-6otZ7M-Mro.001.mp4,it later time and this lady was just so unpleasant to her makeup artist and I mean so unpleasant that it was a horrifying experience and it took all my power to just not look I'm going to say don't get funny lady but
-8asrRvfJWA.003.mp4,"She gave her a medicine yesterday, a painkiller that she's allergic to and I'm actually allergic to and she got really sick and I know the feeling that we're both allergic to it. She told me not to come to the hospital, she told me you might own a bed and not to come to the hospital yesterday because she wants her rest. But today, I'm going to snap some necks and..."
-8asrRvfJWA.004.mp4,"just to keep things light. I am terrified of spiders. I was in the bathroom the other night. And I go put this in the bathroom, close the door, and turn the red book down. I don't know why, but that's how a parent night is. When I, like, airwear around girl like..."
-9BZ8A9U7TE.000.mp4,I uploaded it for the reason they were not uploaded it exported but it would not upload for some reason so I thought I may as well just do it again for you guys see me there had way way more questions I've got loads and loads and loads more to get through but I would definitely have
-9BZ8A9U7TE.003.mp4,So I figured she's my favourite style. It would probably be poppin' and I'm not under boasting I think here. But I think it's only because I actually enjoyed doing poppin' and I me personally I think I'm good at it. But I also do like house...
-9BZ8A9U7TE.004.mp4,"was what's your favourite songs at the moment? I'm actually 11, two songs and they are Downtown Maka Mauna and there is also a late all on me by Ed Sheeran. I'm never known at the moment mainly because Downtown has a"
-agCXYgb7pI.004.mp4,"very able friends in the city I'm going to I generally tend to hit golf course because again the game is very close to me and I think it's one of the best ways to spend a day walking around. It's a bit of an exercise, I don't think it's a bit of a slow game but I trust you."
-AmMDnVl4s8.003.mp4,"matters at the end of the day, like coming from somebody who is almost graduating college who, you know, went through high school and all that, is that you will get through it, bullying, depression, tough times. Like, honestly, there's always a light."
-aU2FN5pkWA.001.mp4,"And don't start with me. Like I said, I completely am all into redemptive lucifer storylines. So, ah, yeah. I just want them to be into the most world's unlikely of friends and save the world and become super lawyers together and just, oh yeah, I do."
-aU2FN5pkWA.004.mp4,"And so the point of Cass feeling like he is expendable and worthless is the fact that he's not. And but he has to get to that point to be shown the gravity of which, you know, the worth he holds."
-awAu11kBZ0.000.mp4,in my business but yeah I kind of does because I do kind of wish that you guys will support both of us as far as moving on because yeah we might have went through things and yes it might have been tough but at the end of the day we both made the decision to you know be a part and so we kind of need support in those areas.
-c2HtptBFxY.002.mp4,"and he was my first boyfriend ever. So we did in eighth grade and we went to the same school, but then for high school, since we lived in like slightly different areas, based on our zip codes, there's like three high schools that are in our area. So he had to go to one..."
-C5M9g4Quzc.002.mp4,"Heck, I encourage the debate. I encourage the arguments but you know nothing too negative because we're when nice people We are nice people so yeah comment guys because it's commenting you got your all your comments are like I don't know"
-c_tyGzShwk.004.mp4,"So I went down the cliff a bit to get it back, sorry. I think sorry, I don't know how to say what I got. I was worried. We just took, did the drone took photos, but this cheeky sun is wanting to set on us. It's evil, so it's getting that really harsh lighting."
-DOqN0d8KHw.002.mp4,"Other than makeup and body jewelry, which I will do collections on a bit of those things as they grow, I like to collect oddities. If you don't know, never mind, they're under you under the camera. I'm just going to show you."
-DOqN0d8KHw.003.mp4,more but I actually accidentally deleted all four of my other videos. Don't ask me how it happened. I'm not really sure but it did. I didn't do it on purpose that's for sure.
-fqiCqZtgYs.001.mp4,"No this likes for me, I never dislike a video I know, it's hard to catch you It's hard to get on youtube to get big on youtube So why would we give this like support guy? Support him Like like his video, watch his video as support him That's all you need to do, just to-"
-fqiCqZtgYs.002.mp4,"I see Saurit and the other one is from America I think. Yeah, so yeah, I will just say like, let's grab a couple of things. Let's talk a little bit and maybe let's make one full video together. Who knows, yeah, that will be awesome. And then we have another question of John, like..."
-fqiCqZtgYs.003.mp4,"subscribers and so much more. So yeah, I hope so I will become big on youth because I really want to entertain your people. Really. It's really amazing to do YouTube. I don't have a lot of time to do YouTube but when I have time I'm always making a video trying to upload it on."
-fXqnCljdm0.000.mp4,"years. Alright, you're not good enough. You're not on her fucking standard. Leave me a break. The only thing that reminds me to be honest, say that she's human, is that it's the fact that she takes shits and, you know, contrary to proper belief, fucking people probably think that her shits..."
-fXqnCljdm0.003.mp4,You don't do anything nice yourself. Women in general are not nice people. They don't do nice things unless it awards them. Unless it's beneficial for them. They don't do.
-Gl98Jn45Fs.000.mp4,um team best fit body uh and I think I was with them for three months I just recently stopped there they're also my when I compete again I'm gonna use them so it was nothing like personal
-Gl98Jn45Fs.001.mp4,"He helped me, he like taught me how to do everything and how to kind of like start a split and all this stuff granted. All this stuff is online so if you want to, if you're like, well I don't have anyone who can help me do that, go to Bodybuilding."
-Gl98Jn45Fs.003.mp4,had made gains. So I was like I want to compete. So I had already talked to Nikki about it like in the past. So I was just like okay like I'll use Nikki. I have no idea like and about any other coaches or anything. So I was glad that I knew her. So...
-IK--4uz5ZY.000.mp4,"would you give up? So the five senses are touch hearing, sight, taste and smell. I think, excuse me, if I'm wrong. I would 100% like don't even need to think about it because I talk about this. I hear this conversation so you have to do different people."
-IK--4uz5ZY.002.mp4,I think I could love without being able to like feel the warmth of someone giving you a hug and like you know stuff like that. Sight obviously is an arbiter. I would never want to give up my sight and taste. Come on. I'm addicted to food like. A lot of life be with us.
-IK--4uz5ZY.003.mp4,taste the spinach but again the texture of spinach but I could full on have like pure aides spinach and not care. Like I have it in my smoothies and quite often I don't put enough other ingredients so all I can taste the spinach and it doesn't bother me but other than that legit it will be potato and people
